Geneid	MB231-Combo-1.sorted.bam	MB231-Combo-2.sorted.bam	MB231-Combo-3.sorted.bam	MB231-DMSO-1.sorted.bam	MB231-DMSO-2.sorted.bam	MB231-DMSO-3.sorted.bam	MB231-MG132-1.sorted.bam	MB231-MG132-2.sorted.bam	MB231-MG132-3.sorted.bam	MB231-SHP-1.sorted.bam	MB231-SHP-2.sorted.bam	MB231-SHP-3.sorted.bam
OR2Z1	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0
NFILZ	0	1	0	1	0	1	0	0	2	0	0	0
ADAMTS10	1	0	1	0	0	0	0	0	1	0	0	0
MYO1F	91	83	84	107	100	82	90	115	138	99	68	119
ZNF414	133	158	133	252	201	250	234	216	238	243	214	246
PRAM1	8	13	24	5	7	6	6	9	27	7	4	3
HNRNPM	15803	16736	17725	16257	15109	15027	16295	15323	16422	16600	16265	15741
MARCHF2	193	211	183	386	340	340	339	348	342	373	335	352
RAB11B	1813	1813	2109	2840	2534	2649	2653	2526	2831	2885	2790	2569
MIR4999	0	0	0	0	0	0	0	1	1	0	0	2
RAB11B-AS1	12	11	11	19	16	20	16	13	25	12	18	20
ANGPTL4	127	138	142	600	515	617	507	426	521	451	422	397
LOC100129682	0	0	0	0	0	0	0	0	1	0	0	0
KANK3	2	4	1	3	3	0	0	1	4	1	0	3
RPS28	4044	4533	4162	4986	4700	4625	4401	4479	4598	4093	4175	4207
NDUFA7	332	388	396	548	498	490	484	467	488	481	457	483
CD320	1496	1539	1683	2233	2118	2071	2082	1916	2145	2051	2020	1976
LOC107985282	0	0	0	0	0	0	0	0	0	0	0	0
CERS4	189	211	240	305	236	249	287	233	268	276	265	284
LOC100422633	0	0	0	0	0	0	0	0	0	0	0	0
FBN3	0	0	0	1	0	0	0	0	0	0	0	0
CCL25	0	2	0	0	1	1	1	0	0	0	0	0
LOC105372266	43	25	48	50	48	49	53	40	44	66	36	54
ELAVL1	3069	3459	3822	4323	4130	4408	4735	4263	4682	4542	4463	4377
TIMM44	3128	3151	3293	2468	2227	2364	2264	2256	2367	2497	2269	2364
CTXN1	83	91	113	175	195	151	170	128	191	141	160	176
SNAPC2	612	698	743	1261	1104	1049	1096	1144	1141	1236	1063	1137
TGFBR3L	105	149	135	216	209	211	236	206	249	205	202	200
MAP2K7	1554	1444	1592	1977	1849	1737	1776	1671	1945	1900	1797	1687
LRRC8E	628	796	710	644	534	552	665	588	555	589	600	660
RNA5SP463	0	0	0	0	0	0	0	0	0	0	0	0
LYPLA2P2	2	3	1	5	6	4	0	3	3	6	12	7
PRR36	9	9	11	12	12	9	7	10	7	17	18	14
EVI5L	1128	1319	1329	2078	1992	1986	2056	1916	2156	2151	2114	2117
EXOSC3P2	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4GP1	0	0	0	1	0	0	0	0	0	0	0	0
LOC105372263	0	1	0	0	0	0	0	0	0	0	0	1
CLEC4M	0	0	0	0	0	1	0	0	0	0	0	0
RPL21P129	0	0	0	0	0	0	0	0	0	0	0	0
LOC100129391	0	0	0	0	0	0	0	0	0	0	0	0
CD209	0	1	0	0	1	0	0	0	1	0	0	0
CLEC4G	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372262	0	0	0	0	0	0	0	0	0	0	0	0
FCER2	3	5	9	4	1	2	0	3	5	4	0	1
TRAPPC5	889	1105	932	1292	1213	1338	1162	1136	1271	1256	1215	1178
MCEMP1	10	15	14	6	6	7	1	8	20	5	0	6
RETN	4	5	14	0	1	0	0	2	8	3	4	0
RPS27AP19	0	0	0	0	1	0	0	0	0	0	0	0
STXBP2	1929	1966	2017	2503	2405	2416	2403	2339	2432	2479	2508	2432
PCP2	3	4	6	0	4	4	9	3	0	4	0	1
PET100	600	510	501	553	668	512	495	610	567	424	360	546
XAB2	1776	1841	2155	1557	1490	1487	1562	1493	1592	1701	1553	1582
MIR6792	0	0	0	0	0	0	0	0	0	0	0	0
CAMSAP3	84	101	127	98	78	66	97	104	88	125	136	98
PNPLA6	3060	3486	3471	4274	3846	4068	4302	3820	4112	4431	4190	4195
MCOLN1	635	624	780	872	798	737	836	718	790	798	786	740
ZNF358	427	407	435	590	595	586	595	525	619	724	657	630
LOC105372261	1	1	0	2	0	0	2	0	0	1	0	0
TEX45	3	1	0	2	1	0	1	0	0	1	1	0
PEX11G	11	13	9	25	34	8	20	19	17	25	21	19
LOC107985284	1	0	2	3	0	3	1	7	1	2	0	1
ARHGEF18	3149	3539	3729	4825	4411	4478	5046	4440	4839	5064	4653	4882
INSR	599	708	741	877	811	760	897	861	896	960	940	933
ZNF557	201	191	218	191	128	184	187	210	191	179	192	192
MBD3L3	0	0	0	0	0	1	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	1	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L2B	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268245	0	0	0	0	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	1	0	1	0	0	1	2	3	1
LOC105372256	0	0	0	0	0	0	0	0	1	0	0	0
ADGRE1	0	2	3	0	4	1	1	4	2	9	1	0
VAV1	24	31	37	14	16	31	8	17	38	12	9	10
SH2D3A	261	320	303	684	603	535	549	569	601	512	602	622
LOC107985302	7	4	7	18	13	17	20	12	12	11	13	12
TRIP10	2968	2989	3155	4668	4200	4142	4551	4409	4513	4550	4332	4158
MIR6791	0	0	0	0	0	0	0	0	0	0	0	1
GPR108	1146	1195	1224	1454	1547	1401	1529	1496	1505	1564	1419	1428
C3	183	152	192	134	170	128	120	115	122	241	133	82
TNFSF14	9	6	5	1	3	3	1	1	5	1	0	0
RPL7P50	1	0	0	0	0	0	0	0	0	1	0	0
CD70	6	7	9	7	10	10	7	3	13	6	3	9
CLIC4P2	0	0	0	0	0	0	0	0	0	0	0	0
LOC100421483	0	1	0	0	0	0	0	0	0	0	0	0
TNFSF9	544	529	564	115	164	164	152	185	162	176	137	170
TUBB4A	6	1	10	5	3	2	12	3	2	5	2	2
DENND1C	18	21	17	25	28	27	19	24	32	20	20	19
CRB3	17	18	16	13	14	18	9	27	13	16	24	18
SLC25A23	860	978	1175	1536	1486	1475	1740	1484	1619	1774	1614	1642
SLC25A41	3	1	0	6	2	5	6	4	3	6	10	3
MIR3940	0	0	0	0	0	0	0	0	0	0	0	0
KHSRP	11237	12268	13494	13673	12287	12790	14138	12756	14328	13739	13219	12910
LOC390877	15	21	30	16	14	4	6	6	8	3	5	12
MIR6790	0	0	0	0	0	0	0	0	0	0	0	0
MIR6885	0	0	0	0	0	0	0	0	0	0	0	0
GTF2F1	3513	3942	4389	3400	3213	3040	3412	3130	3644	3573	3444	3389
PSPN	18	19	21	28	25	11	27	31	30	28	26	22
ALKBH7	591	561	595	764	782	710	698	799	776	778	818	826
CLPP	1702	1849	1848	2773	2579	2594	2511	2391	2835	2533	2600	2512
ACER1	1	3	4	1	7	2	3	2	2	6	2	0
MLLT1	2911	3267	3287	3877	3567	3585	4119	3663	4077	3905	3978	3745
ACSBG2	2	5	4	5	8	8	14	15	5	14	10	0
LOC105372255	1	0	4	5	4	2	5	2	10	12	2	2
LOC100128144	0	0	0	0	0	0	0	2	0	0	0	0
RFX2	124	113	114	195	183	195	182	220	167	218	190	172
RANBP3-DT	4	1	2	7	10	6	8	4	8	2	3	6
RANBP3	2745	2769	3141	2661	2586	2625	2757	2587	2717	2735	2932	2861
CAPS	48	41	51	40	27	31	48	55	50	27	33	30
VMAC	17	25	22	23	24	32	45	32	29	38	18	35
NDUFA11	2730	2689	2626	3241	2978	3017	2929	2871	2996	2850	2805	2832
FUT5	0	0	0	0	0	0	0	0	1	1	0	0
LOC101928844	1	0	0	0	0	0	0	0	0	0	0	0
FUT3	0	0	0	0	0	0	0	0	0	1	0	0
FUT6	1	0	0	0	0	0	0	0	0	0	1	0
NRTN	9	5	7	4	24	6	9	9	4	9	10	20
DUS3L	703	799	718	789	739	801	799	755	791	809	784	724
PRR22	24	11	24	34	21	10	25	41	29	16	13	9
CATSPERD	0	1	0	0	1	0	0	0	2	1	0	0
LONP1	5796	5909	6149	5257	4885	4832	5115	4887	5467	5450	5237	5066
RPL36	6973	7531	7430	8470	8413	8013	8311	8473	8123	7866	7163	7918
HSD11B1L	41	18	27	32	51	37	33	33	54	41	48	40
MICOS13	1162	1289	1168	1566	1695	1532	1584	1560	1520	1394	1522	1464
LOC107985320	12	18	21	12	7	5	14	12	15	10	10	10
SAFB	4498	4607	5367	5404	5025	5144	5512	5231	5544	5425	5528	5304
SAFB2	3179	3237	3768	3477	3171	3303	3721	3464	3825	3619	3711	3500
SNRPEP4	103	115	94	138	150	129	143	156	122	129	85	130
TINCR	1	4	4	2	1	0	8	2	4	2	8	5
ZNRF4	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372252	0	0	1	0	0	2	0	0	0	0	0	0
LOC105372253	0	0	0	0	3	1	0	3	0	2	4	1
RPL32P34	1	0	0	0	0	0	0	0	1	2	2	0
PTPRS	1141	1140	1261	1420	1226	1249	1388	1372	1490	1396	1413	1341
KDM4B	1059	1154	1189	1524	1442	1403	1531	1445	1538	1689	1660	1623
MIR4747	0	0	0	0	0	0	0	0	0	0	0	0
UHRF1	1683	1615	1920	6281	5779	5748	6289	6074	6281	5814	5626	5251
ARRDC5	1	0	2	0	1	2	0	0	0	0	0	0
PLIN3	3950	4464	4689	9302	8148	8222	8817	8090	9031	8999	8519	8762
TICAM1	597	591	649	518	522	473	535	470	531	535	506	590
FEM1A	1670	1915	1956	1951	1593	1833	1826	1707	1783	1822	1639	1874
MIR7-3	1	0	0	2	1	0	1	2	1	1	1	0
MIR7-3HG	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC3-1	0	0	0	0	0	0	0	0	0	0	0	0
TRG-TCC1-1	0	0	1	0	0	0	0	0	0	0	0	0
LOC105372250	0	0	0	0	1	0	0	0	0	0	0	3
DPP9-AS1	8	13	3	8	7	7	11	13	14	7	17	3
DPP9	4228	4288	4955	6940	6083	6183	6977	6324	7189	6706	6820	6460
MYDGF	6782	7117	7309	7607	7090	6806	7464	6967	7264	6934	6863	6884
TNFAIP8L1	185	179	232	759	747	624	754	754	820	761	804	811
LOC100287614	0	0	0	0	0	0	0	1	0	1	0	0
LOC105372249	3	1	5	4	16	4	2	4	4	5	10	5
SEMA6B	1029	1206	1199	1680	1676	1538	1650	1593	1827	1673	1757	1663
LRG1	27	30	26	15	17	12	15	29	24	24	7	15
PLIN5	0	7	0	0	2	0	0	2	0	0	0	0
PLIN4	4	10	8	4	7	9	16	11	6	6	11	15
HDGFL2	1352	1500	1425	2125	2095	2111	2192	2086	2279	2053	2134	2236
MIR4746	1	0	2	4	0	1	2	2	2	2	1	1
UBXN6	2218	2423	2402	2665	2529	2495	2610	2522	2626	2836	2568	2599
LOC107985297	23	33	32	20	30	17	32	30	28	27	20	36
CHAF1A	2021	2241	2506	3094	2820	2886	3109	2859	3109	3030	2983	2969
SH3GL1	5544	6026	6128	7808	7100	7122	7535	6931	7902	7571	7639	7501
EIF1P6	5	2	2	5	1	0	1	4	2	0	2	0
MPND	187	234	170	254	247	286	237	216	303	231	277	241
STAP2	547	542	569	612	601	614	600	533	612	675	653	684
FSD1	10	5	11	1	0	0	0	0	11	0	2	3
TMIGD2	0	0	0	0	0	0	0	0	0	0	0	0
SHD	1	0	0	1	0	0	0	0	0	0	0	0
YJU2	633	750	777	591	547	578	620	565	628	586	555	578
EBI3	17	22	25	25	31	28	32	16	38	36	23	19
ANKRD24	3	14	2	6	13	7	11	14	5	14	11	16
SIRT6	985	949	961	1099	941	1036	1039	1031	1072	1031	1046	1090
CREB3L3	6	1	3	12	13	2	7	7	12	2	12	31
MAP2K2	3757	4549	4964	4498	4262	4578	4678	4228	4441	4758	4560	4806
ZBTB7A	1591	1679	1929	2548	2547	2361	2788	2505	2628	2526	2419	2550
PIAS4	804	834	927	1146	930	942	1161	1041	1071	1127	1076	1085
SNORD37	0	2	2	6	2	1	0	4	2	0	3	1
EEF2	51169	57227	62466	54200	49165	51325	53603	49282	55082	53214	50491	50152
MIR637	14	11	11	3	5	1	6	8	2	5	6	4
DAPK3	3317	3322	3710	2765	2375	2531	2648	2457	2703	2702	2729	2634
NMRK2	0	0	0	0	0	0	0	0	0	1	0	0
RN7SL202P	0	0	0	0	0	0	0	0	0	0	0	0
ATCAY	0	0	2	0	0	0	1	1	0	0	0	0
FTLP5	0	0	1	0	0	0	0	0	0	0	0	0
ZFR2	0	0	0	0	0	0	0	0	0	0	0	0
MATK	0	0	2	0	2	2	2	1	2	2	3	3
RAX2	0	0	0	0	0	0	0	0	0	0	0	0
MRPL54	688	726	744	855	929	789	733	846	826	774	739	713
LOC105372248	0	2	2	7	2	1	2	1	6	2	0	3
APBA3	610	638	616	650	664	666	563	589	659	646	664	601
TJP3	12	15	7	10	24	4	6	7	6	19	11	9
PIP5K1C	1212	1339	1528	1857	1693	1853	2045	1883	1937	2202	2084	2098
CACTIN	1137	1229	1133	1163	1098	1098	1094	1062	1097	1154	1150	1189
CACTIN-AS1	6	18	16	10	9	5	14	13	7	22	19	13
TBXA2R	55	43	47	69	74	91	104	86	79	61	99	59
GIPC3	2	1	0	0	1	0	0	2	0	0	1	1
HMG20B	3187	3290	3296	4671	4464	4332	4491	4119	4541	4844	4314	4353
C19orf71	301	351	366	490	417	430	449	409	446	410	429	483
MFSD12	3869	4272	4405	4404	4547	4293	4641	4269	4491	4536	4150	4299
FZR1	2045	2289	2564	2615	2408	2496	2582	2342	2706	2725	2601	2612
LOC105372245	42	57	70	56	46	35	45	57	40	55	48	39
DOHH	1245	1451	1425	1216	1212	1275	1309	1184	1275	1234	1277	1217
LOC105372246	5	12	4	4	5	2	2	4	4	1	6	0
SMIM24	8	3	3	0	3	2	1	2	5	1	2	0
NFIC	3094	3319	3784	4808	4453	4409	5106	4304	4961	4962	5015	4882
LOC105372244	0	0	0	0	0	0	0	0	0	0	0	0
CELF5	0	3	5	0	0	4	7	0	1	5	5	6
NCLN	6621	7125	7733	7600	7441	7419	7850	7268	7863	7541	7487	7084
S1PR4	4	6	9	5	6	5	1	5	7	5	6	3
GNA15-DT	4	0	5	2	6	0	3	3	6	2	3	8
GNA15	1379	1337	1519	1806	1664	1561	1733	1589	1768	1792	1788	1824
LOC390876	0	0	0	0	0	0	0	0	0	0	0	0
GNA11	6186	6739	7231	7917	7121	7176	7642	6718	7865	7747	7391	7368
LOC105372242	0	0	1	0	0	0	0	0	0	0	0	2
TLE5	4384	5020	5296	6730	6428	6298	7008	6436	6706	7222	6208	6790
TLE2	10	5	5	5	6	14	11	8	10	11	8	2
TLE6	2	2	4	10	3	2	5	2	1	1	2	1
ZNF77	66	51	62	97	87	86	116	89	127	91	69	78
LOC101928631	3	1	0	1	2	4	6	4	4	0	4	10
ZNF57	82	99	107	136	122	106	121	164	117	149	163	119
LOC100419704	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985264	0	0	0	0	0	0	0	0	0	0	0	0
ZNF556	0	0	0	1	0	0	2	0	0	0	0	2
ZNF555	105	103	130	170	154	100	164	152	160	171	241	166
ZNF554	28	38	46	71	61	44	77	74	77	92	85	116
THOP1	2524	2761	2733	3867	3565	3478	3620	3545	3627	3827	3801	3645
SGTA	4484	4589	5208	4906	4655	4678	4883	4416	5100	4893	4865	4765
SLC39A3	950	944	1060	1663	1637	1593	1627	1528	1771	1629	1553	1561
DIRAS1	32	45	62	15	12	14	14	15	39	14	28	16
MIR7850	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL121P	0	0	0	0	0	0	0	0	0	0	0	0
ELOCP28	0	0	0	0	0	0	0	0	0	0	0	0
GNG7	36	47	36	85	69	53	95	53	68	68	59	73
RNU6-993P	0	0	0	0	0	0	0	0	0	0	0	0
GADD45B	1482	1505	1688	1298	1067	1160	1184	1161	1192	1081	1039	929
LINC01775	22	9	14	16	23	17	28	33	35	15	33	10
MIR7108	0	0	0	0	0	0	0	0	0	0	0	0
LMNB2	10768	11505	12175	20169	18569	18757	19977	18510	20207	20472	19593	19148
TIMM13	2288	2581	2541	2831	2858	2858	2770	2728	2920	2650	2647	2602
TMPRSS9	20	25	25	15	25	31	22	22	16	22	17	26
SPPL2B	770	737	866	1124	1102	1111	1083	1033	1091	1048	1099	991
LSM7	1442	1454	1445	2034	2258	1966	1969	2072	2160	1819	1610	1778
LOC101928572	2	1	1	1	0	2	0	0	0	0	0	0
LINGO3	1	1	2	1	0	0	0	3	3	0	0	1
PEAK3	3	3	1	3	0	4	1	1	0	2	0	0
OAZ1	26297	27371	28434	26288	23636	23455	24831	24018	25609	25121	24283	22988
LOC105372240	0	2	1	1	0	0	0	0	0	0	1	1
JSRP1	0	3	2	0	0	0	0	0	0	0	0	0
MIR4321	0	0	4	0	0	0	1	1	0	0	0	0
AMH	168	174	158	82	97	84	94	87	96	98	116	88
SF3A2	2073	2177	2517	2512	2360	2395	2504	2342	2641	2678	2525	2463
MIR6789	0	0	0	0	0	0	0	0	0	0	0	0
MIR1227	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHJ1	1417	1385	1387	2268	2008	1881	2018	1882	2007	2043	2166	1989
DOT1L	1397	1469	1673	1904	1761	1851	1999	1691	1958	1959	1981	1801
AP3D1	5210	5356	6409	5864	5513	5708	6356	6085	6338	6636	6557	6325
IZUMO4	12	25	32	35	30	25	28	42	42	33	38	22
MOB3A	972	1083	1131	1731	1588	1730	1817	1714	1769	1989	1968	1938
MKNK2	2172	2299	2516	2288	2075	1914	2273	2088	2206	2139	2094	2171
LOC107985278	1	6	8	8	9	5	12	9	3	7	7	4
BTBD2	994	1145	1132	1790	1573	1769	1892	1566	1846	2010	1895	1814
CSNK1G2-AS1	2	1	2	1	0	0	0	0	2	3	0	0
CSNK1G2	1777	1844	1886	2755	2633	2681	2953	2602	2790	2765	2760	2872
LOC105372238	0	1	0	4	1	3	7	0	0	2	1	0
ADAT3	142	108	118	139	154	121	112	109	132	157	161	146
SCAMP4	1653	1856	2109	3058	2779	2743	2999	2806	3051	2983	3054	2907
ABHD17A	2317	2470	2487	3284	3183	3067	3053	2935	3207	3055	2924	3056
KLF16	1387	1482	1582	1866	1712	1773	1787	1764	1783	1741	1636	1778
LOC100288123	24	16	18	20	18	2	16	24	3	6	5	17
MIR1909	0	0	0	0	0	0	0	0	0	0	0	0
REXO1	1762	1865	2079	1892	1757	1800	1925	1743	1849	1818	1785	1830
ATP8B3	54	50	43	119	101	72	117	105	96	129	99	120
LOC101928543	0	1	0	0	0	0	0	0	0	0	0	0
ONECUT3	0	0	1	0	0	0	0	0	0	0	0	0
RNU6-1223P	1	3	1	0	1	0	0	0	1	0	1	0
TCF3	2824	2925	3285	3695	3393	3414	3605	3372	3540	3868	3693	3665
UQCR11	2081	2175	2094	2496	2617	2333	2562	2265	2650	2227	2065	2296
MBD3	5211	5510	5502	8878	8899	8451	8449	7839	8768	8895	8122	8733
RN7SL477P	0	0	0	0	2	0	0	0	0	0	0	0
MEX3D	2016	2170	2167	2629	2737	2620	2851	2300	2757	2762	2555	2735
PLK5	0	0	2	0	0	0	0	0	1	0	0	0
LOC107985337	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL5	186	229	238	355	337	353	376	322	340	314	322	325
REEP6	89	83	93	181	163	138	158	116	154	179	197	171
PCSK4	10	21	9	18	9	8	12	19	17	13	16	2
C19orf25	835	880	942	810	682	732	705	682	664	683	649	639
APC2	474	483	542	762	729	754	780	703	689	828	730	706
RPS15	12755	13747	13635	16088	15101	15514	14407	13992	15284	14764	14405	14133
DAZAP1	5792	5983	6124	6611	6180	6189	6639	6024	6678	6220	5924	5864
GAMT	919	942	989	1475	1472	1387	1309	1309	1412	1331	1432	1518
NDUFS7	1591	1568	1678	2064	2120	1902	1873	1809	2076	1899	1883	1923
TRN-GTT2-6	0	1	0	0	1	0	0	0	1	3	0	0
TRF-GAA1-6	0	4	0	0	0	1	0	1	1	3	8	1
PWWP3A	1851	1588	1976	1078	957	925	1086	935	1111	1230	1186	1041
RPS15P9	0	0	0	0	0	0	0	0	0	0	0	0
EFNA2	5	7	11	6	18	7	14	13	6	16	8	7
FAM174C	834	777	864	1109	1047	1176	1099	1083	1231	1078	1073	1067
CIRBP	1483	1437	1633	2332	2155	2062	2298	2108	2301	2244	2286	2209
CIRBP-AS1	12	20	12	31	7	15	25	18	10	18	7	16
LOC105372236	0	1	1	0	0	0	0	1	0	0	1	0
LOC107985303	0	3	2	5	4	8	2	4	6	3	11	6
MIDN	766	856	979	1043	932	920	1089	953	947	898	854	935
LOC102723811	0	3	5	1	4	2	3	5	1	1	2	3
ATP5F1D	1148	1366	1292	1729	1655	1745	1767	1559	1684	1779	1661	1593
CBARP	67	78	70	85	101	77	85	92	57	79	129	89
STK11	1949	2138	2244	2776	2577	2626	2717	2424	2715	2881	2614	2766
HMGB2P1	0	0	0	1	2	0	2	2	0	2	0	1
LOC102725180	64	49	68	77	79	82	74	103	74	92	81	82
LOC102723798	19	41	35	23	11	19	19	19	16	18	31	15
GPX4	5004	5423	5373	7980	7385	7390	7614	6909	7963	7612	7138	7520
POLR2E	6758	7293	7342	8849	7828	8197	8717	8252	8761	8765	8464	8346
ARHGAP45	1057	1033	1146	2911	2701	2795	3013	2642	3041	2830	2715	2610
ABCA7	217	192	276	323	331	268	304	298	305	382	337	316
CNN2	4947	5206	5770	8283	7276	7748	8252	7567	8367	8126	8029	7767
RNU6-2	0	0	0	0	0	0	0	0	0	0	1	3
TMEM259	4637	4126	4485	4211	3838	3742	4120	3713	3971	4006	3878	3868
LOC105372235	7	5	5	7	8	13	3	1	5	5	7	6
GRIN3B	3	16	8	3	6	5	9	7	9	4	4	6
WDR18	1656	1677	1716	1856	1776	1846	1766	1774	1791	1820	1852	1781
ARID3A	109	117	116	153	125	123	146	153	153	130	125	109
KISS1R	5	0	0	0	2	0	3	0	0	0	1	0
R3HDM4	1384	1383	1550	1912	1558	1766	1624	1715	1794	1850	1779	1603
RNU6-9	0	0	0	0	0	0	0	0	0	1	0	0
MIR3187	0	0	0	0	0	0	0	0	0	0	0	0
PLPPR3	13	17	7	33	14	22	17	17	18	10	6	15
MIR4745	0	0	0	0	0	0	0	0	0	0	0	0
PTBP1	10293	11308	12538	17225	14382	14956	16314	14974	16622	15773	15739	14877
LINC01836	13	12	11	31	28	32	29	33	39	37	20	27
LOC101928450	3	3	0	2	3	8	6	5	4	5	7	8
MISP	513	467	571	544	478	562	589	525	606	693	664	678
PALM	95	110	81	117	106	115	123	79	117	134	124	124
RPS2P52	0	0	0	0	0	0	0	0	0	0	0	0
PRSS57	0	0	0	0	0	0	0	0	0	0	0	0
FSTL3	2542	2669	2467	3014	2761	2661	2770	2563	2882	2484	2591	2502
RNF126	1848	1861	1991	2183	1969	2060	2136	1757	1979	1979	1886	1885
FGF22	3	6	1	6	6	5	11	4	10	6	4	3
LOC105372234	0	4	0	4	3	13	8	13	13	2	8	8
POLRMT	1411	1432	1520	1900	1861	1896	1921	1906	2029	2072	1918	1827
LOC107987266	12	8	3	6	10	8	13	7	5	5	10	6
LOC100420586	2	0	0	1	0	0	0	0	0	0	0	1
HCN2	19	30	34	18	18	14	18	24	13	24	25	20
BSG	23267	25225	26275	29747	27222	27314	28949	27156	29934	29517	28663	27726
BSG-AS1	7	12	14	12	19	21	16	26	11	19	17	23
GZMM	4	5	2	4	5	7	0	1	4	3	1	7
CDC34	2032	2083	2488	2297	2347	2280	2245	2322	2357	2535	2265	2315
TPGS1	202	234	245	327	419	331	325	307	331	408	377	392
MADCAM1-AS1	0	1	0	2	9	5	1	1	2	6	2	3
MADCAM1	8	0	3	2	3	2	3	4	1	4	0	3
ODF3L2	1	0	3	2	0	2	4	4	2	1	1	6
RNA5SP462	0	0	0	0	0	0	0	0	0	0	0	0
SHC2	10	14	13	9	13	7	9	13	15	6	9	12
C2CD4C	19	11	17	16	5	4	14	7	13	3	1	9
THEG	0	0	0	0	0	0	0	0	0	0	0	0
MIER2	877	897	1043	1166	983	1028	1127	960	1131	1145	1172	1035
PLPP2	766	841	865	1042	1039	1132	1052	954	1157	1136	1096	1039
VN2R11P	0	0	0	1	0	0	0	0	1	0	0	0
LOC107985295	1	0	0	2	2	4	0	1	0	2	0	2
GTF2IP19	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1076P	0	0	0	0	2	0	0	0	0	1	0	0
LOC101928344	40	33	38	21	41	19	22	23	38	35	32	42
LINC01002	228	160	240	143	143	119	154	143	135	131	118	127
CICP19	3	6	6	2	8	2	1	8	1	5	7	6
SEPTIN14P19	11	8	17	11	13	14	10	14	6	23	20	12
OR4F8P	0	0	0	0	0	0	0	0	0	0	0	0
WBP1LP11	0	0	0	0	0	0	0	0	0	0	0	1
OR4F17	1	0	0	1	0	0	0	0	0	0	0	0
OR4G1P	0	0	0	0	0	0	0	0	0	0	0	0
OR4G3P	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	1	0	0	1	0	0	0	0	0	2	1
MIR1302-11	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376912	0	0	1	0	1	0	0	0	0	0	0	0
WASH5P	152	95	130	102	101	91	87	112	120	72	84	79
PARD6G	59	61	59	68	81	82	77	49	97	73	103	86
PARD6G-AS1	6	5	1	2	6	2	4	4	2	1	7	3
ADNP2	1205	1276	1603	1208	1101	1090	1256	1173	1260	1150	1106	1232
SLC25A6P4	0	0	0	0	0	0	0	0	0	0	0	0
RBFADN	0	3	1	2	1	1	0	0	0	1	0	1
RBFA	321	295	335	470	393	355	400	433	467	458	422	403
TXNL4A	1651	1866	1937	2175	2224	2022	2161	1939	2229	2082	2178	2081
HSBP1L1	293	385	386	368	387	316	356	353	397	306	370	330
SLC66A2	986	1042	1058	1145	997	1089	1221	1107	1144	1201	1067	1114
KCNG2	38	35	13	26	51	42	27	38	37	39	26	42
LOC105376875	1	0	0	0	2	0	0	4	0	0	4	0
LOC105372228	0	0	0	0	0	0	1	0	0	0	0	0
LOC102723506	0	1	0	0	0	0	0	0	0	0	0	1
LOC107985162	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927897	3	3	3	0	0	1	1	3	0	1	0	0
LOC107985163	1	0	0	0	1	0	0	0	0	0	0	0
NFATC1	108	88	92	92	63	73	119	112	86	99	106	108
LOC107985149	6	3	1	1	3	0	0	0	1	1	0	0
LOC105372226	0	0	0	0	1	0	1	1	1	3	0	2
ATP9B	1041	1117	1122	1131	1000	995	1056	1045	1134	1120	948	1132
LOC105372224	0	0	1	0	0	0	0	0	0	0	0	0
LOC112268207	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-655P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372218	0	0	0	0	0	0	0	0	1	0	0	0
LINC01029	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP461	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985129	0	0	0	0	0	0	0	0	0	0	0	0
LOC100421527	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985172	0	0	0	0	0	1	0	1	0	0	0	1
BDP1P	0	0	1	0	0	1	0	1	0	0	1	2
LOC107985171	1	0	0	0	0	0	1	0	0	0	0	0
GALR1	0	0	2	0	2	0	1	0	2	0	5	5
LOC107987261	10	11	13	21	29	9	16	23	22	22	21	21
LOC105372217	0	1	2	5	3	0	3	0	5	1	4	0
MBP	1961	2341	2390	5588	4962	5130	5378	5083	5602	6581	6125	6362
LOC100421894	2	0	0	0	0	0	2	1	0	0	0	0
LOC105372214	0	0	0	0	1	0	6	0	0	1	0	0
